student_id,study_group,study_mode,study_hours_per_week,sleep_hours_per_night,attendance_pct,confidence_rating,exam_score,passed
53,A,Instructor-led,12.5,6.6,76.5,8.7,75.0,Yes
54,B,Self-paced,12.2,,82.4,9.5,90.7,No
55,B,Self-paced,13.1,,67.4,10.0,81.9,Yes
56,A,Self-paced,11.0,6.8,71.9,9.6,71.8,Yes
57,A,Self-paced,6.0,7.2,88.9,8.7,67.4,No
58,C,Self-paced,15.5,6.4,79.6,9.7,93.7,Yes
59,A,Self-paced,8.4,6.3,62.3,7.7,53.3,No
60,B,Self-paced,12.9,7.3,55.6,9.8,74.0,Yes
61,B,Instructor-led,14.3,7.3,100.0,9.9,98.3,Yes
62,C,Instructor-led,16.7,6.5,82.9,9.7,100.0,Yes
63,B,Self-paced,11.1,6.6,58.1,7.9,75.0,Yes
64,A,Instructor-led,10.8,6.0,79.4,8.1,76.9,No
65,C,Instructor-led,11.1,7.3,85.8,7.7,60.0,No
66,C,Instructor-led,4.6,6.5,79.0,6.8,53.5,Yes
67,B,Self-paced,9.0,4.7,54.6,8.2,62.1,Yes
68,C,Self-paced,8.0,6.2,99.7,8.8,74.6,Yes
69,B,Self-paced,7.4,7.4,85.0,8.2,69.9,Yes
70,C,Instructor-led,12.7,7.0,75.3,7.9,56.9,Yes
71,A,Self-paced,10.8,,86.0,8.7,69.7,Yes
72,B,Self-paced,18.4,7.5,75.0,8.5,89.4,Yes
73,C,Self-paced,18.0,7.3,73.6,9.7,79.8,Yes
74,A,Instructor-led,4.5,7.3,88.6,6.6,59.6,No
75,B,Instructor-led,12.5,8.4,53.6,10.0,73.6,Yes
76,A,Self-paced,8.0,6.2,90.1,8.0,71.6,Yes
77,B,Self-paced,14.2,7.3,82.7,9.3,81.7,Yes
78,A,Self-paced,12.6,6.3,87.1,9.2,84.0,No
79,A,Self-paced,15.7,7.8,89.0,10.0,94.1,Yes
80,C,Self-paced,13.2,8.0,96.9,8.7,79.4,Yes
81,B,Instructor-led,15.0,7.2,95.6,9.4,76.7,Yes
82,B,Self-paced,10.8,7.5,88.8,7.8,69.1,Yes
83,B,Self-paced,2.0,5.6,73.3,8.2,48.4,No
84,B,Self-paced,7.3,7.3,86.5,8.5,66.4,Yes
85,A,Self-paced,8.6,5.1,72.2,8.2,53.8,No
86,A,Instructor-led,10.0,9.2,66.4,9.0,61.3,No
87,C,Self-paced,8.0,7.9,83.7,7.9,65.5,Yes
88,C,Self-paced,18.5,4.7,82.6,9.6,100.0,Yes
89,B,Instructor-led,11.3,3.4,92.8,8.8,81.0,Yes
90,C,Self-paced,17.2,8.1,52.1,9.1,77.8,Yes
91,B,Self-paced,10.6,5.5,85.6,9.4,80.6,No
92,B,Instructor-led,18.6,7.2,86.5,10.0,92.0,Yes
93,A,Instructor-led,7.2,5.0,79.7,8.8,66.8,Yes
94,C,Self-paced,14.4,6.6,96.4,9.6,92.8,Yes
95,A,Self-paced,6.7,5.8,67.7,8.8,63.6,Yes
96,B,Self-paced,13.8,7.2,82.5,9.9,80.7,Yes
97,A,Self-paced,18.3,6.1,73.8,10.0,92.6,Yes
98,B,Self-paced,5.5,8.3,78.2,9.4,56.6,Yes
99,B,Self-paced,8.5,5.6,66.6,8.2,64.8,Yes
100,B,Instructor-led,13.0,8.1,76.7,8.5,59.5,Yes
101,A,Instructor-led,11.3,6.5,86.6,8.1,72.0,Yes
102,A,Instructor-led,6.5,7.1,79.9,8.6,75.9,Yes
103,C,Self-paced,16.6,4.6,82.7,9.7,82.6,Yes
104,A,Instructor-led,12.2,4.4,69.1,9.7,72.8,No
105,B,Instructor-led,17.2,7.8,97.8,9.2,87.1,Yes
106,A,Self-paced,13.3,5.0,70.0,9.0,67.2,No
107,A,Self-paced,7.4,6.1,78.7,8.8,69.1,No
108,A,Self-paced,10.1,6.1,85.6,9.2,72.4,No
109,A,Instructor-led,17.5,5.4,76.3,9.9,94.5,No
110,B,Self-paced,6.5,6.8,87.7,8.0,58.4,No
111,C,Self-paced,10.1,4.8,80.8,7.5,71.7,Yes
112,B,Instructor-led,14.4,5.1,99.3,8.4,82.3,Yes
113,A,Instructor-led,16.1,7.6,85.2,9.5,80.4,Yes
114,B,Self-paced,15.3,5.5,83.3,9.6,91.6,Yes
115,B,Instructor-led,6.1,7.4,68.7,9.3,54.1,Yes
116,C,Instructor-led,20.3,7.3,84.1,9.6,87.9,Yes
117,B,Self-paced,11.3,8.3,90.7,10.0,96.7,Yes
118,C,Instructor-led,12.0,7.1,83.5,8.3,75.5,Yes
119,B,Instructor-led,12.0,4.3,67.1,8.0,70.3,Yes
120,A,Instructor-led,11.1,5.7,71.8,9.1,75.0,No
121,B,Instructor-led,8.1,6.0,75.6,9.2,57.9,No
122,C,Instructor-led,10.7,8.0,78.7,9.3,75.0,Yes
123,B,Self-paced,17.3,6.9,61.6,8.7,72.3,Yes
124,B,Instructor-led,6.6,5.9,100.0,8.8,65.1,Yes
125,B,Self-paced,2.3,7.0,77.2,8.2,49.6,Yes
126,B,Instructor-led,14.1,6.1,79.8,9.9,90.4,Yes
127,B,Self-paced,13.4,7.2,73.0,9.3,81.5,Yes
128,B,Instructor-led,14.9,6.7,77.8,9.2,95.6,Yes
129,C,Instructor-led,18.9,7.8,100.0,9.3,100.0,Yes
130,C,Self-paced,9.1,6.9,66.8,8.0,60.4,Yes
131,C,Instructor-led,12.7,7.7,72.0,9.1,78.9,Yes
132,A,Self-paced,14.0,6.5,65.7,8.1,72.4,No
133,B,Self-paced,16.9,7.4,71.6,10.0,78.4,Yes
134,A,Self-paced,16.1,6.3,96.8,10.0,97.6,Yes
135,C,Self-paced,8.6,7.3,70.6,8.8,77.3,Yes
136,A,Instructor-led,6.5,6.8,72.7,8.9,62.9,Yes
137,C,Self-paced,10.9,6.4,56.3,10.0,69.7,Yes
138,A,Instructor-led,5.5,6.0,73.9,8.6,62.4,Yes
139,B,Instructor-led,16.4,6.2,81.0,9.7,87.3,Yes
140,C,Self-paced,10.4,7.1,72.3,9.6,72.8,Yes
141,B,Instructor-led,10.6,3.7,73.4,7.6,62.6,Yes
142,C,Instructor-led,8.4,8.0,87.9,8.7,74.6,Yes
143,B,Instructor-led,18.1,3.7,84.6,8.9,83.7,Yes
144,A,Self-paced,13.2,6.3,77.0,9.2,67.5,No
145,B,Instructor-led,10.4,6.1,68.8,7.7,68.0,Yes
146,B,Self-paced,14.4,7.4,60.0,9.3,77.4,Yes
147,B,Self-paced,11.7,6.8,98.6,9.2,86.0,Yes
148,A,Instructor-led,14.4,6.4,59.5,9.0,78.2,No
149,A,Instructor-led,17.3,6.6,86.1,9.3,90.2,Yes
150,C,Self-paced,10.9,7.6,75.9,9.5,66.6,Yes
151,C,Self-paced,14.0,9.3,69.4,8.7,80.0,Yes
152,C,Self-paced,13.9,7.0,88.9,8.6,83.1,Yes
153,A,Self-paced,16.5,4.0,69.3,9.6,84.3,No
154,A,Self-paced,14.4,6.0,93.5,8.8,77.7,No
155,B,Self-paced,12.1,7.0,65.8,9.8,85.5,No
156,B,Instructor-led,9.4,10.0,84.2,9.1,76.9,No
157,B,Self-paced,13.2,5.6,93.7,9.5,86.6,Yes
158,A,Self-paced,7.8,6.1,66.6,8.6,63.8,No
159,A,Instructor-led,14.6,7.2,100.0,8.3,83.4,Yes
160,B,Instructor-led,12.2,6.9,88.6,8.2,85.2,Yes
161,A,Instructor-led,14.2,4.9,51.6,9.7,62.1,Yes
162,C,Instructor-led,9.9,7.6,95.1,8.1,70.9,Yes
163,C,Self-paced,8.8,4.9,100.0,9.2,71.1,Yes
164,A,Instructor-led,8.3,6.2,75.1,8.2,70.8,Yes
165,A,Instructor-led,16.4,8.1,75.9,9.2,80.9,No
166,C,Instructor-led,11.1,4.9,82.8,9.3,85.4,Yes
167,C,Instructor-led,11.1,6.1,55.4,8.9,53.0,Yes
168,B,Self-paced,4.8,8.5,80.2,8.8,72.6,No
169,B,Instructor-led,11.8,6.2,89.6,8.3,79.7,Yes
170,C,Instructor-led,1.0,5.2,71.6,7.4,57.5,Yes
171,A,Self-paced,17.4,5.8,91.7,9.6,85.3,Yes
172,A,Self-paced,11.0,7.5,100.0,10.0,86.4,No
173,B,Self-paced,12.1,4.6,54.6,9.8,66.4,Yes
174,A,Self-paced,6.3,5.7,56.4,9.6,59.3,Yes
175,B,Self-paced,7.6,4.7,69.7,7.0,51.4,Yes
176,C,Self-paced,14.4,5.1,85.9,9.4,86.0,Yes
177,A,Self-paced,11.2,8.0,82.9,8.3,75.2,Yes
178,A,Self-paced,13.7,6.4,67.2,8.5,60.4,No
179,A,Self-paced,17.1,6.0,64.5,9.8,81.2,Yes
180,C,Instructor-led,14.7,7.0,69.4,7.9,75.6,Yes
181,A,Self-paced,4.4,5.6,98.7,9.3,70.4,Yes
182,C,Instructor-led,8.1,5.1,66.7,8.7,58.2,No
183,B,Instructor-led,7.5,7.9,71.2,8.4,65.0,Yes
184,C,Self-paced,8.4,7.6,89.8,8.9,80.4,Yes
185,C,Self-paced,3.7,5.5,75.0,8.8,49.4,Yes
186,A,Self-paced,3.8,7.3,66.2,8.7,69.5,Yes
187,A,Instructor-led,9.0,8.3,95.5,8.4,74.7,Yes
188,C,Instructor-led,9.6,7.1,82.3,8.8,68.8,Yes
189,A,Self-paced,14.1,7.1,70.0,9.2,66.1,No
190,C,Self-paced,10.7,5.0,73.6,8.6,56.5,Yes
191,A,Instructor-led,17.7,6.3,89.5,8.7,97.1,Yes
192,A,Self-paced,4.7,4.2,73.9,7.2,54.5,Yes
193,B,Instructor-led,6.4,7.8,81.5,8.0,58.7,Yes
194,A,Self-paced,13.0,6.3,89.1,9.6,88.0,No
195,C,Instructor-led,10.9,8.1,90.4,9.3,80.8,Yes
196,C,Instructor-led,8.0,5.6,56.2,7.7,61.8,Yes
197,A,Self-paced,15.1,7.6,72.5,9.3,68.0,Yes
198,A,Self-paced,16.3,4.6,74.4,9.0,67.1,Yes
199,A,Instructor-led,17.2,6.0,79.7,8.8,93.6,Yes
200,B,Self-paced,10.4,7.2,87.8,8.4,73.3,Yes
201,A,Self-paced,12.0,6.9,92.6,9.0,76.2,Yes
202,B,Instructor-led,12.9,6.4,73.0,8.7,90.7,No
203,B,Self-paced,12.2,4.5,65.2,8.8,68.5,Yes
204,B,Self-paced,16.1,8.1,80.9,9.6,86.9,Yes
205,B,Instructor-led,10.0,7.3,71.3,9.2,86.1,Yes
206,B,Instructor-led,13.5,7.9,99.4,9.9,88.1,Yes
207,C,Instructor-led,3.1,7.9,82.9,9.1,52.8,Yes
208,B,Instructor-led,15.0,6.0,79.3,8.6,74.5,No
209,C,Self-paced,18.5,7.0,90.6,10.0,100.0,Yes
210,A,Self-paced,11.9,9.7,70.7,8.2,62.7,No
211,A,Instructor-led,16.1,5.5,74.5,10.0,89.1,Yes
212,A,Instructor-led,5.3,7.0,76.5,9.7,73.3,Yes
213,C,Self-paced,10.7,5.8,86.5,8.9,73.3,Yes
214,A,Self-paced,5.8,8.6,94.4,8.5,72.4,No
215,C,Instructor-led,13.3,6.7,88.2,9.7,80.6,Yes
216,C,Instructor-led,14.1,5.2,87.8,9.7,93.0,Yes
217,B,Self-paced,6.5,5.8,76.0,7.8,64.9,Yes
218,A,Self-paced,8.6,4.8,83.2,7.9,63.3,Yes
219,B,Instructor-led,9.7,3.7,75.9,8.8,72.3,Yes
220,A,Instructor-led,21.7,3.2,92.6,10.0,100.0,No
221,C,Instructor-led,11.7,5.6,71.1,9.3,67.5,Yes
222,A,Instructor-led,12.5,5.1,77.8,9.8,73.9,Yes
223,A,Instructor-led,13.4,6.7,81.6,9.3,68.9,Yes
224,B,Self-paced,13.2,5.5,88.1,9.8,73.1,Yes
225,B,Self-paced,11.0,6.8,69.9,10.0,75.8,Yes
226,A,Instructor-led,6.7,8.6,75.9,7.1,48.3,No
227,A,Self-paced,9.3,5.1,68.8,9.1,69.0,No
228,B,Self-paced,18.5,5.0,62.5,9.8,84.7,Yes
229,B,Instructor-led,13.0,7.7,91.8,9.3,75.6,No
230,A,Instructor-led,10.5,9.3,84.2,9.7,84.5,Yes
231,B,Self-paced,6.6,5.4,60.6,7.0,64.6,Yes
232,B,Instructor-led,11.8,4.4,66.9,8.8,66.8,No
233,B,Self-paced,12.1,6.1,85.3,8.4,78.4,Yes
234,A,Instructor-led,9.4,6.0,71.3,9.6,75.0,Yes
235,A,Self-paced,15.6,7.4,66.0,8.3,66.7,No
236,C,Self-paced,9.6,5.2,93.7,8.9,75.4,Yes
237,C,Self-paced,11.3,6.2,72.8,8.8,70.0,Yes
238,C,Instructor-led,15.4,6.1,74.1,8.2,84.1,Yes
239,C,Instructor-led,12.9,4.6,85.4,9.7,95.5,Yes
240,B,Self-paced,16.5,,70.0,8.3,77.0,Yes
241,C,Instructor-led,11.1,,78.8,9.4,70.3,Yes
242,A,Instructor-led,10.3,7.2,80.5,8.1,62.2,Yes
243,B,Self-paced,13.9,5.5,87.5,8.7,82.9,No
244,B,Self-paced,12.9,8.4,69.6,10.0,79.6,No
245,B,Instructor-led,16.7,7.6,91.6,8.5,68.3,Yes
246,A,Instructor-led,13.6,7.1,82.6,9.1,91.1,Yes
247,A,Self-paced,11.9,7.2,100.0,9.7,92.9,Yes
248,B,Self-paced,13.8,6.9,81.2,8.1,57.9,Yes
249,A,Instructor-led,14.6,7.4,72.1,8.8,66.6,Yes
250,A,Instructor-led,7.5,7.5,72.0,8.1,67.6,No
251,A,Instructor-led,11.4,6.6,64.8,9.5,71.0,No
252,A,Instructor-led,10.7,4.0,78.4,9.5,81.6,No
253,C,Self-paced,16.8,6.3,77.6,10.0,82.5,Yes
254,B,Instructor-led,10.1,5.5,89.2,9.7,84.1,Yes
255,A,Self-paced,16.3,5.0,79.4,8.4,73.3,Yes
256,B,Self-paced,6.9,7.2,68.2,9.2,65.1,Yes
257,B,Self-paced,11.8,4.3,90.7,8.8,74.2,Yes
258,C,Instructor-led,16.3,7.5,73.1,9.2,78.9,Yes
259,B,Self-paced,11.0,5.7,81.5,6.8,59.5,Yes
260,A,Self-paced,16.6,5.0,95.9,8.7,85.8,Yes
261,C,Instructor-led,3.9,5.4,93.6,9.8,72.9,Yes
262,A,Instructor-led,12.1,9.3,69.4,9.4,67.8,Yes
263,A,Self-paced,12.6,8.3,76.9,7.9,74.1,Yes
264,B,Instructor-led,11.5,6.1,94.4,9.4,79.1,Yes
265,C,Self-paced,6.0,7.8,90.1,8.4,57.6,Yes
266,A,Self-paced,14.7,8.7,84.7,10.0,84.5,No
267,A,Self-paced,2.7,5.4,88.9,7.8,62.7,Yes
268,B,Self-paced,15.8,6.1,52.1,8.0,74.6,Yes
269,B,Instructor-led,13.2,7.6,74.6,8.6,61.7,No
270,A,Instructor-led,15.9,7.0,60.8,9.3,91.2,No
271,C,Self-paced,11.0,6.0,70.4,8.5,71.4,Yes
272,B,Self-paced,7.6,8.5,73.4,8.0,64.5,Yes
273,B,Instructor-led,9.9,7.1,83.7,9.6,70.4,Yes
274,A,Self-paced,10.1,7.5,92.1,8.3,69.8,Yes
275,A,Self-paced,14.4,9.4,87.4,9.3,69.1,No
276,C,Self-paced,10.8,7.1,81.2,9.3,72.9,Yes
277,C,Instructor-led,13.7,9.7,73.5,8.8,78.7,Yes
278,A,Self-paced,13.9,6.9,93.2,10.0,90.8,No
279,A,Self-paced,17.7,6.3,80.9,10.0,100.0,No
280,B,Instructor-led,4.1,6.6,56.4,7.9,47.2,Yes
281,C,Self-paced,10.4,7.6,76.9,9.3,84.4,Yes
282,C,Instructor-led,14.8,7.3,83.6,9.8,83.1,Yes
283,A,Instructor-led,14.8,6.9,66.0,8.9,82.7,Yes
284,A,Self-paced,9.8,4.7,80.2,8.8,62.8,Yes
285,A,Self-paced,11.0,5.2,95.8,10.0,80.2,No
286,A,Instructor-led,11.7,6.2,74.4,7.8,66.0,Yes
287,B,Instructor-led,12.6,7.4,76.8,8.2,81.5,Yes
288,C,Self-paced,9.8,8.3,76.9,8.8,60.1,Yes
289,A,Instructor-led,9.5,3.5,65.6,8.2,67.1,No
290,A,Self-paced,7.6,6.3,71.6,8.1,60.9,Yes
291,B,Self-paced,10.5,5.9,65.1,9.0,71.6,Yes
292,B,Self-paced,17.6,6.4,73.7,9.2,87.9,Yes
293,A,Self-paced,8.3,6.7,67.5,8.7,66.0,Yes
294,A,Self-paced,15.9,5.4,88.8,8.7,82.0,No
295,A,Instructor-led,19.8,4.9,75.8,9.6,98.0,Yes
296,B,Instructor-led,12.9,7.7,87.4,9.3,84.0,No
297,A,Self-paced,21.5,7.4,61.9,9.8,84.8,Yes
298,A,Self-paced,11.5,6.0,76.9,9.0,79.9,No
299,B,Instructor-led,18.8,6.3,84.1,9.7,85.8,No
300,A,Self-paced,11.9,5.6,85.5,9.5,77.6,No
