employee_id,department,age,years_experience,salary,performance_score,satisfaction_score,remote
1050,Sales,38,3.6,61200.0,3.1,5.0,No
1051,HR,26,0.1,55000.0,3.4,3.9,No
1052,Support,31,0.2,49100.0,4.3,4.7,No
1053,HR,36,6.9,,3.5,3.9,Yes
1054,Support,34,1.8,55900.0,3.4,4.1,No
1055,Marketing,24,0.5,60400.0,2.4,2.3,Yes
1056,HR,33,3.0,69400.0,3.9,2.9,Yes
1057,Sales,37,5.9,52700.0,3.9,5.0,No
1058,Sales,21,1.0,66300.0,4.9,4.1,No
1059,Sales,26,3.9,72500.0,3.2,2.9,No
1060,Engineering,21,0.4,80300.0,3.6,2.0,No
1061,Engineering,26,0.2,90300.0,3.6,3.5,No
1062,Engineering,33,3.0,95200.0,4.5,3.4,No
1063,Support,36,3.1,49100.0,3.3,5.0,No
1064,Engineering,31,4.1,94700.0,3.6,5.0,No
1065,Engineering,39,5.2,94700.0,3.8,3.6,No
1066,Engineering,36,14.9,129300.0,3.5,5.0,Yes
1067,Sales,23,2.9,68800.0,3.1,4.8,No
1068,Support,28,1.6,,3.5,3.8,No
1069,Sales,35,6.3,73700.0,4.2,2.0,Yes
1070,HR,28,1.3,50600.0,2.7,5.0,No
1071,Support,21,2.3,,3.5,2.7,Yes
1072,Sales,27,0.3,61500.0,2.9,2.1,No
1073,Sales,22,0.1,50800.0,4.2,5.0,No
1074,Support,43,13.1,79900.0,2.3,5.0,No
1075,Support,36,7.2,63500.0,3.0,5.0,No
1076,Support,28,4.8,58400.0,3.7,4.8,No
1077,Support,27,2.1,60000.0,4.5,5.0,No
1078,Sales,24,0.8,62100.0,3.4,4.9,No
1079,Engineering,27,0.7,91100.0,3.0,4.6,Yes
1080,Sales,32,1.2,67100.0,4.7,5.0,No
1081,Support,26,3.2,51300.0,2.4,3.5,Yes
1082,Marketing,34,5.0,73700.0,1.9,3.1,No
1083,Engineering,29,4.3,103300.0,3.7,3.5,No
1084,Sales,25,1.3,58500.0,3.0,3.5,No
1085,Engineering,39,12.4,116300.0,2.7,1.9,Yes
1086,Engineering,28,5.4,94200.0,3.9,4.2,Yes
1087,Support,28,3.2,63300.0,3.6,3.2,No
1088,Marketing,26,3.8,66700.0,3.0,2.7,Yes
1089,Support,37,2.2,52800.0,2.5,3.7,Yes
1090,Engineering,28,1.1,100300.0,4.0,5.0,Yes
1091,Sales,26,1.8,57000.0,3.9,5.0,No
1092,Support,34,5.7,53800.0,3.3,2.4,No
1093,Support,27,0.1,42800.0,4.7,3.8,No
1094,Marketing,27,0.5,65500.0,2.7,4.6,Yes
1095,Support,30,0.2,44700.0,2.3,2.4,Yes
1096,Engineering,30,0.2,102900.0,2.9,3.5,No
1097,Engineering,33,7.7,93400.0,3.4,4.6,No
1098,Engineering,30,4.9,111000.0,3.6,3.2,Yes
1099,Sales,28,2.6,63900.0,3.2,4.0,Yes
1100,Sales,21,0.4,58100.0,3.6,2.8,Yes
1101,Sales,24,2.7,59600.0,2.5,2.9,No
1102,Marketing,35,2.6,68100.0,4.4,5.0,No
1103,Engineering,34,0.8,93200.0,3.3,2.4,Yes
1104,Engineering,28,2.3,102800.0,,5.0,Yes
1105,HR,31,2.0,59300.0,3.6,,Yes
1106,Sales,32,3.8,65700.0,3.7,4.8,No
1107,Engineering,43,4.0,97000.0,3.8,4.5,Yes
1108,Support,32,0.2,52000.0,3.7,5.0,No
1109,Sales,28,1.9,63300.0,3.8,4.4,No
1110,Sales,27,3.9,54800.0,4.3,4.2,No
1111,Engineering,23,2.8,89000.0,3.5,4.2,Yes
1112,Sales,36,7.8,76500.0,,,Yes
1113,HR,28,4.3,63800.0,3.3,4.0,No
1114,Support,22,0.7,52200.0,4.4,4.7,No
1115,Marketing,25,0.3,61700.0,2.9,3.0,No
1116,Support,27,4.1,61500.0,4.7,4.2,No
1117,Support,34,0.1,48900.0,3.4,2.6,Yes
1118,Sales,34,3.5,59600.0,2.4,5.0,No
1119,Support,38,11.3,73500.0,,2.9,No
1120,Engineering,36,3.4,92200.0,2.9,3.0,Yes
1121,Support,29,2.0,58000.0,,3.7,No
1122,Support,28,4.1,49200.0,2.9,4.6,No
1123,Engineering,36,2.5,102700.0,3.1,,No
1124,Sales,32,3.2,66600.0,2.1,4.5,No
1125,Sales,34,11.4,80100.0,3.1,3.2,No
1126,Engineering,28,2.0,101500.0,1.7,3.3,No
1127,Support,36,13.0,85400.0,2.3,2.5,Yes
1128,Support,31,9.4,75000.0,3.9,5.0,Yes
1129,Sales,32,0.9,48600.0,4.0,3.2,No
1130,Engineering,35,0.3,84900.0,3.7,4.5,Yes
1131,Engineering,22,0.4,89000.0,,4.3,No
1132,Sales,29,0.1,58300.0,3.4,4.5,No
1133,Sales,25,0.4,61800.0,3.4,3.9,No
1134,Engineering,30,4.6,,2.6,3.4,No
1135,HR,25,0.3,56700.0,4.5,4.7,No
1136,Engineering,25,1.5,90200.0,4.0,4.3,Yes
1137,Engineering,35,7.5,101800.0,,4.9,Yes
1138,Support,24,0.1,43700.0,3.4,5.0,Yes
1139,Engineering,35,6.7,98500.0,3.5,3.5,No
1140,HR,28,1.3,49200.0,2.0,1.8,No
1141,HR,27,0.5,50000.0,3.2,3.8,Yes
1142,Engineering,28,4.8,107000.0,2.9,,No
1143,Engineering,29,4.0,,2.7,2.8,No
1144,Engineering,38,8.4,122900.0,3.2,5.0,No
1145,Engineering,34,5.3,104500.0,4.7,5.0,No
1146,Sales,30,6.5,70800.0,3.8,3.7,Yes
1147,Marketing,29,1.3,58200.0,3.0,4.4,No
1148,Engineering,31,0.8,97600.0,3.8,5.0,No
1149,Sales,26,5.6,64600.0,4.4,4.3,No
1150,Engineering,36,6.6,104600.0,4.0,4.2,No
1151,HR,43,18.6,103800.0,3.4,3.5,No
1152,Sales,31,2.1,61200.0,2.9,2.7,No
1153,Sales,26,1.9,68300.0,3.9,3.7,Yes
1154,Engineering,26,6.0,98600.0,3.7,3.0,No
1155,HR,22,1.7,57900.0,4.0,4.4,No
1156,Sales,38,10.7,87900.0,3.8,3.5,No
1157,Marketing,36,7.8,,4.1,4.7,Yes
1158,Support,26,2.2,66800.0,3.0,2.2,Yes
1159,Sales,35,5.6,72300.0,4.3,4.9,Yes
1160,Support,26,5.6,58700.0,3.5,4.9,No
1161,Engineering,27,0.4,96500.0,4.9,2.9,No
1162,Marketing,31,9.3,83600.0,2.9,4.1,Yes
1163,Marketing,27,2.8,69800.0,4.6,5.0,No
1164,Engineering,34,7.0,95200.0,3.5,2.9,No
1165,Sales,25,1.5,56300.0,2.9,5.0,No
1166,Support,34,9.0,66700.0,3.1,4.3,No
1167,Engineering,33,2.0,95200.0,3.2,3.2,No
1168,Sales,25,0.0,61700.0,3.7,4.2,No
1169,Sales,40,9.4,76000.0,3.8,4.8,Yes
1170,Marketing,23,0.4,53700.0,3.0,3.9,No
1171,Marketing,31,1.5,66000.0,3.4,4.6,No
1172,Sales,45,12.0,83300.0,4.9,4.0,No
1173,Engineering,29,12.0,117000.0,4.6,4.9,No
1174,Sales,27,3.4,70600.0,3.7,2.8,No
1175,Marketing,33,4.0,73200.0,3.4,3.9,Yes
1176,Sales,29,2.4,65100.0,3.5,3.2,No
1177,Marketing,30,1.4,63100.0,3.8,3.5,Yes
1178,Engineering,26,1.6,84900.0,2.7,4.9,Yes
1179,HR,32,4.5,65700.0,3.2,5.0,No
1180,Sales,32,5.6,,2.2,3.9,No
1181,Engineering,38,6.3,105000.0,3.7,3.1,Yes
1182,Sales,34,6.2,61500.0,3.9,4.0,No
1183,HR,29,0.4,49200.0,3.1,5.0,No
1184,Support,28,2.7,63200.0,4.5,4.8,Yes
1185,Engineering,25,0.2,92100.0,2.5,5.0,No
1186,Marketing,28,3.2,70800.0,2.4,3.8,No
1187,Support,31,2.3,56300.0,3.6,4.4,No
1188,Marketing,34,8.7,76800.0,4.1,4.2,Yes
1189,Engineering,30,1.7,100700.0,4.6,4.9,No
1190,Sales,36,0.5,55800.0,3.1,3.7,No
1191,Sales,31,0.6,59700.0,,5.0,No
1192,Support,31,5.7,59500.0,3.4,5.0,Yes
1193,HR,36,3.9,59400.0,3.3,3.2,No
1194,Marketing,26,0.4,59900.0,,3.1,Yes
1195,Engineering,21,0.4,,3.9,,No
1196,Engineering,28,4.8,97800.0,2.3,3.9,Yes
1197,Support,21,0.3,60100.0,4.4,3.5,No
1198,Support,32,6.9,59100.0,4.4,,No
1199,Support,32,4.9,59700.0,3.0,4.2,Yes
1200,Support,34,0.3,49900.0,3.7,5.0,Yes
1201,Marketing,29,0.4,70400.0,3.7,4.2,Yes
1202,Sales,43,17.3,90300.0,3.6,5.0,No
1203,Sales,32,1.9,67600.0,3.0,3.9,No
1204,Support,21,1.9,46500.0,2.9,3.6,No
1205,Marketing,35,6.7,74700.0,3.4,5.0,No
1206,Sales,42,11.8,84600.0,4.2,4.2,No
1207,Sales,38,17.1,,3.8,4.5,No
1208,Marketing,37,5.6,,3.1,4.2,No
1209,Sales,30,1.9,58300.0,3.9,3.7,No
1210,Sales,26,0.3,67000.0,1.4,3.8,No
1211,Engineering,36,6.0,116600.0,4.2,4.3,No
1212,Marketing,39,3.3,64800.0,2.2,2.6,Yes
1213,Marketing,30,2.2,62300.0,3.1,4.4,No
1214,Sales,37,9.5,83800.0,2.6,2.7,No
1215,Support,26,0.5,,2.5,3.5,No
1216,Sales,26,2.7,59700.0,4.2,4.5,Yes
1217,Engineering,30,0.0,89500.0,3.1,4.9,No
1218,Support,26,2.5,54800.0,3.6,4.6,No
1219,Marketing,27,0.2,,3.4,4.0,No
1220,Support,26,0.5,47400.0,3.7,5.0,Yes
1221,Marketing,29,0.5,55900.0,3.5,5.0,No
1222,Marketing,33,4.2,64000.0,2.5,4.1,No
1223,Sales,37,5.5,67700.0,4.1,4.5,No
1224,Engineering,28,3.5,99700.0,3.1,2.5,No
1225,Engineering,39,13.1,124900.0,2.3,2.3,No
1226,Sales,25,1.9,55400.0,3.1,3.6,No
1227,HR,27,1.3,63200.0,4.5,4.1,Yes
1228,Engineering,37,8.1,105300.0,4.0,4.2,No
1229,Support,31,1.0,53500.0,3.2,4.0,No
1230,Marketing,37,13.2,88800.0,3.2,4.4,Yes
1231,Support,30,0.0,45300.0,3.2,,Yes
1232,Engineering,46,14.0,119500.0,4.9,5.0,Yes
1233,Marketing,29,0.2,62400.0,3.7,4.3,No
1234,Engineering,43,8.9,111000.0,3.7,2.2,No
1235,Sales,27,3.0,65100.0,4.1,3.5,No
1236,Support,42,19.8,102400.0,3.6,4.0,No
1237,Engineering,21,0.3,88700.0,,2.7,No
1238,Sales,36,3.2,60600.0,3.3,4.6,Yes
1239,Marketing,44,13.9,82300.0,3.3,5.0,Yes
1240,Sales,30,3.0,60100.0,3.4,5.0,No
